GROMACS
full-atom                                                        
name                      bond_type    epsilon(kcal/mol)                     sigma(Å)
opls_539                      CA                      0.07                      3.55
opls_540                      HA                      0.03                      2.42
opls_541                      HA                      0.03                      2.42
opls_542                      NA                      0.17                      3.25
opls_543                      CW                      0.07                      3.55
opls_544                      CS                      0.07                      3.55
opls_545                      H                      0                      0
opls_546                      HA                      0.03                      2.42
opls_547                      HA                      0.03                      2.42
opls_548                      NA                      0.17                      3.25
opls_549                      NB                      0.17                      3.25
opls_550                      CU                      0.07                      3.55
opls_551                      CA                      0.07                      3.55
opls_552                      CW                      0.07                      3.55
opls_553                      H                      0                      0
opls_554                      HA                      0.03                      2.42
opls_555                      HA                      0.03                      2.42
opls_556                      HA                      0.03                      2.42
opls_557                      NA                      0.17                      3.25
opls_558                      CR                      0.07                      3.55
opls_559                      NB                      0.17                      3.25
opls_560                      CV                      0.07                      3.55
opls_561                      CW                      0.07                      3.55
opls_562                      H                      0                      0
opls_563                      HA                      0.03                      2.42
opls_564                      HA                      0.03                      2.42
opls_565                      HA                      0.03                      2.42
opls_566                      OS                      0.14                      2.9
opls_567                      CW                      0.07                      3.55
opls_568                      CS                      0.076                      3.55
opls_569                      HA                      0.03                      2.42
opls_570                      HA                      0.03                      2.42
opls_571                      OS                      0.14                      2.9
opls_572                      CR                      0.07                      3.55
opls_573                      NB                      0.17                      3.25
opls_574                      CV                      0.07                      3.55
opls_575                      CW                      0.07                      3.55
opls_576                      HA                      0.03                      2.42
opls_577                      HA                      0.03                      2.42
opls_578                      HA                      0.03                      2.42
opls_579                      OS                      0.14                      2.9
opls_580                      NB                      0.17                      3.25
opls_581                      CU                      0.07                      3.55
opls_582                      CA                      0.07                      3.55
opls_583                      CW                      0.07                      3.55
opls_584                      HA                      0.03                      2.42
opls_585                      HA                      0.03                      2.42
opls_586                      HA                      0.03                      2.42
opls_587                      NA                      0.17                      3.25
opls_588                      CW                      0.07                      3.55
opls_589                      CS                      0.07                      3.55
opls_590                      CA                      0.07                      3.55
opls_591                      CA                      0.07                      3.55
opls_592                      CA                      0.07                      3.55
opls_593                      CA                      0.07                      3.55
opls_594                      CN                      0.07                      3.55
opls_595                      CB                      0.07                      3.55
opls_596                      H                      0                      0
opls_597                      HA                      0.03                      2.42
opls_598                      HA                      0.03                      2.42
opls_599                      HA                      0.03                      2.42
opls_600                      HA                      0.03                      2.42
opls_601                      HA                      0.03                      2.42
opls_602                      HA                      0.03                      2.42
opls_603                      NC                      0.17                      3.25
opls_604                      CA                      0.07                      3.55
opls_605                      CA                      0.07                      3.55
opls_606                      CA                      0.07                      3.55
opls_607                      CA                      0.07                      3.55
opls_608                      CA                      0.07                      3.55
opls_609                      CA                      0.07                      3.55
opls_610                      CA                      0.07                      3.55
opls_611                      CA                      0.07                      3.55
opls_612                      CA                      0.07                      3.55
opls_613                      HA                      0.03                      2.42
opls_614                      HA                      0.03                      2.42
opls_615                      HA                      0.03                      2.42
opls_616                      HA                      0.03                      2.42
opls_617                      HA                      0.03                      2.42
opls_618                      HA                      0.03                      2.42
opls_619                      HA                      0.03                      2.42
opls_620                      NC                      0.17                      3.25
opls_621                      CQ                      0.07                      3.55
opls_622                      NC                      0.17                      3.25
opls_623                      CB                      0.07                      3.55
opls_624                      CB                      0.07                      3.55
opls_625                      CA                      0.07                      3.55
opls_626                      NB                      0.17                      3.25
opls_627                      CK                      0.07                      3.55
opls_628                      NA                      0.17                      3.25
opls_629                      HA                      0.03                      2.42
opls_630                      HA                      0.03                      2.42
opls_631                      HA                      0.03                      2.42
opls_632                      H                      0                      0
opls_633                      S                      0.25                      3.55
opls_634                      CR                      0.07                      3.55
opls_635                      NB                      0.17                      3.25
opls_636                      CV                      0.07                      3.55
opls_637                      CW                      0.07                      3.55
opls_638                      HA                      0.03                      2.42
opls_639                      HA                      0.03                      2.42
opls_640                      HA                      0.03                      2.42
opls_641                      NC                      0.17                      3.25
opls_642                      CQ                      0.07                      3.55
opls_643                      HA                      0.03                      2.42
opls_644                      CA                      0.07                      3.55
opls_645                      CT                      0.066                      3.5
opls_646                      NC                      0.17                      3.25
opls_647                      CA                      0.07                      3.55
opls_648                      CA                      0.07                      3.55
opls_649                      CA                      0.07                      3.55
opls_650                      CA                      0.07                      3.55
opls_651                      CA                      0.07                      3.55
opls_652                      CA                      0.07                      3.55
opls_653                      HA                      0.03                      2.42
opls_654                      HA                      0.03                      2.42
